Categoria,Componente,Prodotto,Specifiche_chiave,Prezzo_Cina_EUR,Prezzo_EU_EUR,Canale_consigliato,Note
Drone,Telaio cinewhoop,GEPRC CineLog35 frame kit,"3.5 pollici, condotti paraelica integrati, stack 25.5x25.5",33-40,40-48,Cina (Banggood/AliExpress GEPRC store),Eliche protette dalla struttura
Drone,FC+ESC AIO,SpeedyBee F405 AIO 40A,"25.5x25.5, ESC 40A integrato, 3-6S, BEC 5V+9V",50-55,58-65,Cina (Banggood ~52),Niente cavo FC-ESC: tutto su una scheda
Drone,Motori x4,GEPRC GR2004 2550KV,"2004, 2550KV versione 2-4S",60-80,75-95,Cina,ATTENZIONE: 2550KV non 1750/3150 (quelle sono 6S)
Drone,Motori x4 (alternativa budget),DarwinFPV/RCinPower 2004 ~2900KV,"2004 per 4S",40-50,-,Cina (AliExpress),Qualita inferiore ma funzionale
Drone,Eliche,Gemfan D90 3 pale x8 paia,"90mm 3.5 pollici da condotto, albero 1.5mm/M5",10-14,14-18,Cina (AliExpress ~1.9/paio),Verificare albero compatibile coi motori
Drone,Camera FPV,Caddx Ratel 2,"analogica 1200TVL CMOS",26-32,30-35,Cina (store Caddx ufficiale AliExpress),
Drone,VTX,SpeedyBee TX800,"5.8GHz 25-800mW SmartAudio, alimentazione 5V",20-25,24-30,Cina,Antenna sempre collegata; 25mW per i test
Drone,Ricevitore,RadioMaster RP1,"ExpressLRS 2.4GHz CRSF versione EU-LBT",12-15,14-18,Cina (store RadioMaster ufficiale),Deve combaciare con la radio
Drone,Minuteria,XT60 pigtail + strap + gommini + viti,"guaina termorestringente inclusa",8-12,12-18,Cina,
Terra,Radiocomando,RadioMaster Pocket ELRS,"EdgeTX, ELRS 2.4GHz EU-LBT, Mode 2",62-72,70-85,Cina o EU (garanzia),Ordinare per primo: serve per il simulatore
Terra,Batterie LiPo x3,CNHL MiniStar / GNB 4S 1100mAh,"4S 850-1100mAh XT60 >=70C",-,14-18 cad (45-54),SOLO magazzino UE o negozio EU,Le LiPo non si spediscono per via aerea dalla Cina
Terra,Caricabatterie,ISDT Q6 Nano,"bilanciato, storage mode, serve PSU esterna",30-35,37-42,EU consigliato,Aggiungere alimentatore 12V 5A (8-15)
Sicurezza,LiPo bag,Sacchetto ignifugo,"per carica e storage",5-8,8-12,Cina,
Sicurezza,Smoke stopper,Limitatore corrente XT60,"protegge da corti al primo collegamento",6-10,10-15,Cina,Fortemente consigliato
Strumenti,Saldatore,TS101 / Pinecil + stagno + flux,"temperatura regolabile",30-45,40-60,Cina o EU,Se non gia posseduto
Strumenti,Multimetro,Generico,"continuita e tensione",8-15,15-25,Cina o EU,Per controllare i corti
